date,value,satellite_flag
2007-12-25 15:00,0.0000,11000000000000000000000000000000
2007-12-25 16:00,0.0000,01000000000000000000000000100000
2007-12-25 17:00,0.0000,01000000000000000000001000000000
2007-12-25 18:00,0.0000,01000000000000000001000000000000
2007-12-25 19:00,0.0000,01000000000000000000001000000000
2007-12-25 20:00,0.0000,01000000000000000000010000000010
2007-12-25 21:00,0.0000,11000000000000000000000000000000
2007-12-25 22:00,0.0000,01000000000000000000010000000000
2007-12-25 23:00,0.0000,11000000000000000000000000000000
2007-12-26 00:00,0.0000,01000000000000000000000100000000
2007-12-26 01:00,0.0000,01000000000000000000000010001100
2007-12-26 02:00,0.0000,11000000000000000000000000000000
2007-12-26 03:00,0.0000,11000000000000000000000000000000
2007-12-26 04:00,0.0000,01000000000000000000000000100000
2007-12-26 05:00,0.0000,01000000000000000001001000000000
2007-12-26 06:00,0.0000,11000000000000000000000000000000
2007-12-26 07:00,0.0000,11000000000000000000000000000000
2007-12-26 08:00,0.4821,11000000000000000000000000000000
2007-12-26 09:00,0.0000,11000000000000000000000000000000
2007-12-26 10:00,0.0000,01000000000000000000010000000010
2007-12-26 11:00,0.0000,11000000000000000000000000000000
2007-12-26 12:00,0.0000,11000000000000000000000000000000
2007-12-26 13:00,0.0000,01000000000000000000000110000000
2007-12-26 14:00,0.0000,11000000000000000000000000000000
2007-12-26 15:00,0.0000,01000000000000000000000000000100
2007-12-26 16:00,0.0000,01000000000000000000000000100000
2007-12-26 17:00,0.4251,01000000000000000001000000000000
2007-12-26 18:00,0.1126,11000000000000000000000000000000
2007-12-26 19:00,0.2178,01000000000000000000001000000000
2007-12-26 20:00,0.2724,01000000000000000000010000000000
2007-12-26 21:00,0.1392,01000000000000000000010000000010
2007-12-26 22:00,0.3656,11000000000000000000000000000000
2007-12-26 23:00,0.0000,11000000000000000000000000000000
2007-12-27 00:00,0.0000,01000000000000000000000110001000
2007-12-27 01:00,0.0000,11000000000000000000000000000000
2007-12-27 02:00,0.0000,11000000000000000000000000000000
2007-12-27 03:00,0.0000,11000000000000000000000000000000
2007-12-27 04:00,0.0000,01000000000000000000000000100000
2007-12-27 05:00,0.0000,01000000000000000001000000000000
2007-12-27 06:00,0.0000,11000000000000000000000000000000
2007-12-27 07:00,0.0000,11000000000000000000000000000000
2007-12-27 08:00,0.0000,11000000000000000000000000000000
2007-12-27 09:00,0.0000,01000000000000000000000000000010
2007-12-27 10:00,0.0000,01000000000000000000010000000000
2007-12-27 11:00,0.0000,11000000000000000000000000000000
2007-12-27 12:00,0.0000,11000000000000000000000000000000
2007-12-27 13:00,0.0000,01000000000000000000000010001000
2007-12-27 14:00,0.0000,11000000000000000000000000000000
2007-12-27 15:00,0.0000,01000000000000000000000000000100
2007-12-27 16:00,0.0000,01000000000000000000000000100000
2007-12-27 17:00,0.0000,01000000000000000001000000000000
2007-12-27 18:00,0.0000,01000000000000000001001000000000
2007-12-27 19:00,0.8613,11000000000000000000000000000000
2007-12-27 20:00,0.9955,01000000000000000000000000000010
2007-12-27 21:00,2.0211,01000000000000000000010000000000
2007-12-27 22:00,3.4492,11000000000000000000000000000000
2007-12-27 23:00,4.8644,11000000000000000000000000000000
2007-12-28 00:00,0.0000,01000000000000000000000110001000
2007-12-28 01:00,0.0000,11000000000000000000000000000000
2007-12-28 02:00,0.0000,11000000000000000000000000000000
2007-12-28 03:00,0.0000,01000000000000000000000000100000
2007-12-28 04:00,0.0000,01000000000000000001000000000000
2007-12-28 05:00,0.0000,11000000000000000000000000000000
2007-12-28 06:00,0.0000,01000000000000000000001000000000
2007-12-28 07:00,0.0000,11000000000000000000000000000000
2007-12-28 08:00,0.0000,11000000000000000000000000000000
2007-12-28 09:00,0.0000,11000000000000000000000000000000
2007-12-28 10:00,0.0000,01000000000000000000010000000010
2007-12-28 11:00,0.0000,11000000000000000000000000000000
2007-12-28 12:00,0.0000,01000000000000000000000100000000
2007-12-28 13:00,0.0000,11000000000000000000000000000000
2007-12-28 14:00,0.0000,01000000000000000000000010000000
2007-12-28 15:00,0.0000,01000000000000000000000000000100
2007-12-28 16:00,0.0000,01000000000000000000000000100000
2007-12-28 17:00,0.0000,11000000000000000000000000000000
2007-12-28 18:00,0.0000,01000000000000000001001000000000
2007-12-28 19:00,0.0000,11000000000000000000000000000000
2007-12-28 20:00,0.0000,11000000000000000000000000000000
2007-12-28 21:00,0.0000,01000000000000000000010000000010
2007-12-28 22:00,0.0000,11000000000000000000000000000000
2007-12-28 23:00,0.0000,11000000000000000000000000000000
2007-12-29 00:00,0.0000,01000000000000000000000110001000
2007-12-29 01:00,0.0000,11000000000000000000000000000000
2007-12-29 02:00,0.0000,11000000000000000000000000000000
2007-12-29 03:00,0.0000,01000000000000000000000000100000
